"","name","time_consume","consistency","efficacy","ontime_rate","request_N"
"1","Allston / Brighton",36662.7380334805,94168.6081554131,0.819893328982332,0.850441501103753,9060
"2","Back Bay",29255.5033339864,78565.1793683684,0.773558064117908,0.815047021943574,5104
"3","Beacon Hill",21684.5010913329,66329.209278145,0.640112534204449,0.835346471710108,3146
"4","Charlestown",35430.6842315927,93146.716835899,0.753882548459165,0.825746998045239,3581
"5","Dorchester",30229.2535724487,81385.6853811706,0.750299783328052,0.859958379238585,16338
"6","Downtown / Financial District",25299.7813636761,72680.5681251728,0.761183303998635,0.800498426023085,7624
"7","East Boston",30351.7676608101,87181.3090257132,0.825917285263417,0.848811457256755,6773
"8","Fenway / Kenmore / Audubon Circle / Longwood",33498.3216714266,82729.4782814691,0.838793052594171,0.845369237046104,2451
"9","Hyde Park",25859.384619615,82418.8077530702,0.869156619381374,0.898258478460128,5455
"10","Jamaica Plain",28399.5800453681,80605.5322181062,0.841067367211557,0.861115176350066,6833
"11","Mattapan",33288.8863366704,92160.7481292499,0.906897521495926,0.853726362625139,5394
"12","Mission Hill",30582.2819423496,85086.1428345568,0.980842322163069,0.870286576168929,1989
"13","Roslindale",24051.5171981777,71394.7609069733,0.5652298314579,0.883826879271071,4390
"14","Roxbury",31671.8792518104,92896.0791706588,1.06278714872996,0.850828135082814,9298
"15","South Boston / South Boston Waterfront",35231.5098899904,94644.3541482824,0.591666123897398,0.824549960866162,7666
"16","South End",38347.9164570462,102623.974356009,0.737585898071091,0.833627537511033,4532
"17","West Roxbury",29599.0431188057,85591.7633019413,0.663707063043029,0.901580730146782,5314
