"","neighborhood","population","area","density","age","income","white","black.african","asian","hispanic.latino","other.race","age.over.18","male","female"
"1","Allston / Brighton",75009,11526352,0.00650761,26.4,47814,0.713301070538202,0.0510338759348878,0.154781426228853,0.0992014291618339,0.0808836272980576,0.927608686957565,0.495140583130024,0.504859416869976
"2","Back Bay / Bay Village",20531,1649771,0.012444757,35.35,96639,0.820612731966295,0.039696069358531,0.104183917003556,0.0537723442598997,0.0355072816716185,0.941503092883932,0.496079099897716,0.503920900102284
"3","Beacon Hill / West End",11046,987852,0.011181837,32.45,88812,0.869183414810791,0.0218178526163317,0.0817490494296578,0.0436357052326634,0.0272496831432193,0.928209306536303,0.456273764258555,0.543726235741445
"4","Charlestown",16439,3492181,0.004707373,34.6,85952,0.800778636170083,0.057728572297585,0.0814526431048117,0.0967820427033275,0.0600401484275199,0.836668897134862,0.461646085528317,0.538353914471683
"5","Dorchester",114249,18861928,0.006057122,32.6,46982,0.265043895351382,0.463058757625887,0.0934712776479444,0.16986581939448,0.178426069374787,0.747656434629625,0.471548985111467,0.528451014888533
"6","Downtown / Leather District / North End",28000,2870556,0.009754208,31,71817,0.721714285714286,0.0498214285714286,0.196928571428571,0.0514285714285714,0.0315357142857143,0.939642857142857,0.506107142857143,0.493892857142857
"7","East Boston",40517,13813309,0.002933186,32.3,50513,0.647925562109732,0.0447219685564084,0.035762766246267,0.528691660290742,0.271589703087593,0.777229311153343,0.526174198484587,0.473825801515413
"8","Fenway / Longwood Medical Area",38826,3017148,0.012868444,32.3,31827,0.703291608715809,0.0566115489620357,0.177587183845876,0.0826765569463761,0.0625096584762788,0.978931643743883,0.455880080358523,0.544119919641477
"9","Hyde Park",32317,12899518,0.002505287,38.4,62069,0.350249094903611,0.496487916576415,0.0168023021938918,0.201349135130117,0.136460686326082,0.76513909088096,0.471299935018721,0.528700064981279
"10","Jamaica Plain",35459,7975978,0.004445724,34.7,81624,0.633351194337122,0.149524803293945,0.0479708959643532,0.25767788149694,0.16915310640458,0.827067881214924,0.458501367776869,0.541498632223131
"11","Mattapan",22500,7071616,0.003181734,36.4,41229,0.0864,0.798444444444444,0.0173777777777778,0.120977777777778,0.0977777777777778,0.754444444444444,0.456044444444444,0.543955555555556
"12","Mission Hill",16874,1675732,0.010069629,24.4,33232,0.54515823159891,0.181107028564656,0.150171862036269,0.190589071945004,0.123562877800166,0.882837501481569,0.496977598672514,0.503022401327486
"13","Roslindale",26368,5414737,0.004869673,37.6,64774,0.601790048543689,0.225728155339806,0.025902609223301,0.233464805825243,0.146579186893204,0.785270024271845,0.460292779126214,0.539707220873786
"14","Roxbury",49111,9084925,0.005405768,30,28628,0.184276435014559,0.575614424467024,0.0210339842397833,0.288631874732748,0.219075156278634,0.753822972450164,0.468815540306652,0.531184459693348
"15","South Boston / South Boston Waterfront",33674,7841292,0.004294445,32.8,68721,0.824523371146879,0.0591554314901705,0.0489101383856982,0.0993347983607531,0.0674110589772525,0.865920294589297,0.475351903545762,0.524648096454238
"16","South End",25703,1988461,0.012926077,36.3,57984,0.566626463836906,0.165661595922655,0.163132708244174,0.150099210208925,0.104579231996265,0.867097226004746,0.515776368517294,0.484223631482706
"17","West Roxbury",30445,13300484,0.002289014,42.2,80175,0.771916570865495,0.106388569551651,0.0648382328789621,0.0845130563310889,0.0568566267038923,0.792215470520611,0.458203317457711,0.541796682542289
