USPS,GEOID,tract,neighborhood,2010 Census population count,2010 Census housing unit count,Land Area (square meters),Land Area (square miles),Latitude,Longitude                                                                                                                                                                                                                               ,density-square meters,density-square miles,Median Income,White Population,Black or African American Population,American Indian and Alaska Native,Asian Population,Native Hawaiian and Other Pacific ,Other Race Population,Two or more Races Population,Hispanic or Latino Population,Population over 18,Total Male Population,Total Female Population,Median Age
MA,25025000100,100,Brighton,4254,1707,1794942,0.693,42.3614845,-71.1385879,0.002369993,6138.528139,54107,2748,300,6,469,0,513,218,621,3675,2256,1998,29.3
MA,25025000201,201,Brighton,3854,1618,599378,0.231,42.3540662,-71.1611678,0.006429999,16683.98268,"63,784",2918,276,8,327,2,209,114,407,3415,1904,1950,28.3
MA,25025000202,202,Brighton,3885,1522,601637,0.232,42.3526051,-71.1543443,0.006457382,16745.68966,"51,636",2620,330,17,527,1,270,120,596,3229,1962,1923,29.5
MA,25025000301,301,Brighton,2740,1219,572307,0.221,42.3541442,-71.1688266,0.00478764,12398.19005,"81,927",2150,131,6,298,0,84,71,190,2467,1395,1345,31.4
MA,25025000302,302,Brighton,3142,1346,589888,0.228,42.3472584,-71.1676863,0.005326435,13780.70175,"69,384",2472,96,2,453,0,56,63,229,2832,1568,1574,29.4
MA,25025000401,401,Brighton,5672,2965,431043,0.166,42.3438495,-71.1492929,0.01315878,34168.6747,"38,290",4244,144,6,1032,1,117,128,287,5268,2732,2940,28.9
MA,25025000402,402,Brighton,3648,1543,806765,0.311,42.3441742,-71.1588288,0.004521763,11729.90354,"55,756",2863,72,0,544,2,73,94,189,3282,1902,1746,26.7
MA,25025000502,502,Brighton,6303,2041,863889,0.334,42.3315048,-71.1574973,0.007296076,18871.25749,"43,672",5026,286,8,707,2,107,167,446,6218,2888,3415,22.2
MA,25025000503,503,Brighton,2211,1408,139156,0.054,42.339636,-71.1500992,0.015888643,40944.44444,"55,962",1798,57,3,265,0,37,51,96,2157,1028,1183,28.1
MA,25025000504,504,Brighton,4985,2726,333187,0.129,42.3414718,-71.1438264,0.014961568,38643.41085,"41,630",4057,191,5,541,3,83,105,318,4825,2135,2850,27.5
MA,25025000601,601,Brighton,3571,1525,495044,0.191,42.350982,-71.1457225,0.0072135,18696.33508,"52,125",2645,94,2,541,0,189,100,288,3276,1842,1729,29.5
MA,25025000602,602,Brighton,3974,2035,599777,0.232,42.3492514,-71.142457,0.006625796,17129.31034,"26,138",2401,476,14,637,3,287,156,641,3498,1943,2031,28.6
MA,25025000701,701,Brighton,4446,2359,230433,0.089,42.3469581,-71.1379847,0.019294112,49955.05618,"42,003",3226,198,8,730,4,151,129,333,4274,2238,2208,26.3
MA,25025000703,703,Allston,2791,1418,178020,0.069,42.351329,-71.1282159,0.015678014,40449.27536,"19,219",1821,93,3,672,1,99,102,182,2733,1391,1400,23.6
MA,25025000704,704,Allston,4801,2405,239781,0.093,42.3500029,-71.1334045,0.020022437,51623.65591,"44,259",3209,317,13,879,5,229,149,575,4558,2458,2343,25.9
MA,25025000802,802,Allston,8136,3129,977475,0.377,42.3568717,-71.1297576,0.008323487,21580.90186,"39,032",4965,359,22,1572,3,846,369,1466,7465,4611,3525,25.6
MA,25025000803,803,Allston,6584,946,1158191,0.447,42.3594775,-71.1212626,0.005684727,14729.30649,"33,914",4333,405,10,1415,1,133,287,576,6395,2879,3705,20.8
MA,25025010103,10103,Fenway,4569,528,273032,0.105,42.3497818,-71.1034479,0.016734302,43514.28571,"17,868",2800,148,5,1338,0,85,193,347,4550,1818,2751,19.8
MA,25025010104,10104,Fenway,4804,2136,279354,0.108,42.3494322,-71.0937501,0.017196818,44481.48148,"34,779",3439,129,10,974,0,86,166,409,4701,2207,2597,23.7
MA,25025010203,10203,Fenway,5569,3663,365106,0.141,42.3453168,-71.096804,0.015253105,39496.4539,"37,830",3952,298,15,923,5,166,210,569,5400,2800,2769,26.9
MA,25025010204,10204,Fenway,3173,1283,254706,0.098,42.3462887,-71.1033879,0.0124575,32377.55102,"28,861",2248,93,4,672,1,51,104,178,3142,1449,1724,21.9
MA,25025010300,10300,Longwood Medical Area,4861,416,509208,0.197,42.3394252,-71.1017927,0.009546197,24675.1269,"31,250",3558,413,6,484,5,234,161,457,4727,1657,3204,20.2
MA,25025010403,10403,Fenway,3003,2076,88556,0.034,42.345075,-71.088061,0.033910746,88323.52941,"17,186",1830,317,10,632,0,105,109,293,2898,1577,1426,27.8
MA,25025010404,10404,Fenway,5817,1862,136829,0.053,42.3419667,-71.0886375,0.042512918,109754.717,"16,394",4308,269,10,943,5,116,166,386,5733,2739,3078,21
MA,25025010405,10405,Fenway,5522,994,363702,0.14,42.3398654,-71.0896052,0.01518276,39442.85714,"15,541",4000,471,18,719,2,131,181,435,5402,2703,2819,21.1
MA,25025010408,10408,Fenway,1426,961,43381,0.017,42.3431682,-71.0958461,0.032871534,83882.35294,"62,619",1098,55,2,207,1,33,30,133,1380,717,709,27
MA,25025010500,10500,Back Bay,3044,1767,188533,0.073,42.3445637,-71.0845748,0.016145715,41698.63014,"40,750",2163,322,5,405,1,73,75,291,2929,1487,1557,26.9
MA,25025010600,10600,Back Bay,2858,2325,339505,0.131,42.3476385,-71.0793851,0.008418138,21816.79389,"86,250",2275,141,3,362,0,33,44,156,2679,1380,1478,35.9
MA,25025010701,10701,Back Bay,2478,1599,202317,0.078,42.3497223,-71.0838808,0.012248106,31769.23077,"99,234",2105,61,2,215,0,36,59,136,2367,1302,1176,30.1
