,(min),Public Works Department,Boston Public School,Boston Water & Sewer Commission,Inspectional Services,Mayor's 25 Hour Hotline,Parks & Recreation Department,Property Management,Transportation - Traffic Division
1,Allston / Brighton,18.82 ,1147.39 ,NA,96.03 ,3.09 ,2159.12 ,321.86 ,75.21 
2,Back Bay,24.50 ,578.39 ,NA,58.67 ,21.46 ,2375.08 ,189.86 ,44.60 
3,Beacon Hill,17.40 ,NA,NA,41.86 ,18.44 ,1897.87 ,267.18 ,52.55 
4,Charlestown,22.22 ,3950.03 ,NA,49.32 ,64.35 ,1194.40 ,148.14 ,54.42 
5,Dorchester,14.91 ,1491.43 ,2467.66 ,99.33 ,16.36 ,1285.17 ,206.15 ,98.95 
6,Downtown / Financial District,21.08 ,862.11 ,NA,62.45 ,81.78 ,756.81 ,266.30 ,31.14 
7,East Boston,4.83 ,1671.01 ,NA,73.43 ,13.85 ,1218.86 ,299.84 ,63.20 
8,Fenway / Kenmore / Audubon Circle / Longwood,19.06 ,4856.51 ,NA,166.36 ,39.31 ,536.70 ,160.05 ,43.08 
9,Hyde Park,4.24 ,757.07 ,NA,93.43 ,11.50 ,1577.33 ,434.19 ,93.49 
10,Jamaica Plain,14.10 ,2171.10 ,303.93 ,93.26 ,11.87 ,1406.09 ,246.72 ,90.22 
11,Mattapan,5.42 ,4045.09 ,NA,144.32 ,17.27 ,290.82 ,467.75 ,128.65 
12,Mission Hill,19.19 ,2070.65 ,NA,72.83 ,11.75 ,327.67 ,189.44 ,62.05 
13,Roslindale,2.42 ,3598.83 ,NA,95.35 ,18.20 ,1764.16 ,337.62 ,50.11 
14,Roxbury,13.63 ,3285.36 ,40.60 ,134.92 ,23.62 ,66.03 ,164.02 ,68.32 
15,South Boston / South Boston Waterfront,26.55 ,1867.95 ,1466.01 ,87.02 ,17.41 ,972.06 ,196.89 ,22.90 
16,South End,21.02 ,1194.25 ,NA,88.82 ,17.92 ,2498.22 ,145.29 ,40.94 
17,West Roxbury,2.12 ,1554.41 ,NA,88.34 ,21.25 ,1723.54 ,573.75 ,71.43 
