,Building,Code_Enforcement,Environmental_Services,Housing
Allston / Brighton,252.8333333,39.26666667,497.8333333,307.1666667
Back Bay,496.3333333,23.76666667,335.6666667,505.5
Beacon Hill,276.3333333,23.38333333,274.8333333,307.6666667
Charlestown,70.58333333,25.05,647.5,228
Dorchester,214.5,34.65,383.1666667,314.1666667
Downtown / Financial District,313.5,23.85,1175.833333,443.5
East Boston,454.6666667,25.96666667,508.3333333,299.5
Fenway / Kenmore / Audubon Circle / Longwood,578.6666667,33.23333333,359,480.3333333
Hyde Park,337.1666667,38.23333333,335.8333333,643.1666667
Jamaica Plain,431,45.06666667,490.5,240.6666667
Mattapan,415.1666667,26.36666667,620.6666667,333.6666667
Mission Hill,213.6666667,23.61666667,377,348.8333333
Roslindale,608.5,38.78333333,532.1666667,399
Roxbury,308.8333333,37.88333333,628.5,313.1666667
South Boston / South Boston Waterfront,262.1666667,37.03333333,464.3333333,379.3333333
South End,480.3333333,36.15,725.6666667,310.6666667
West Roxbury,458.6666667,39.86666667,321.3333333,339.1666667
