,Building,Code_Enforcement,Environmental_Services,Housing
Allston / Brighton,918.9,49.46666667,831.5,1420.5
Back Bay,1173.5,29.55,733.3,3602.833333
Beacon Hill,456.2666667,29.78333333,609.1333333,3299.966667
Charlestown,114.95,50.13333333,1071.45,505.7833333
Dorchester,378.3833333,42.76666667,832.1833333,1345.216667
Downtown / Financial District,1036.033333,37.56666667,2430.166667,3900.683333
East Boston,1033.516667,27.75,783.6666667,1302.85
Fenway / Kenmore / Audubon Circle / Longwood,1805.866667,49.05,1358.016667,2737.5
Hyde Park,773.9833333,46.83333333,743.25,3152.166667
Jamaica Plain,1054.233333,65.66666667,1391.5,721.4166667
Mattapan,1157.9,45.51666667,1232,1726.166667
Mission Hill,243.8333333,23.91666667,2451.166667,1619.483333
Roslindale,1477.766667,51.93333333,984.5,1092.15
Roxbury,1042.05,41.46666667,1201.666667,1408.316667
South Boston / South Boston Waterfront,592.2,48.85,880.6666667,1866.85
South End,1026,45.8,1254.833333,1302.95
West Roxbury,1221.35,50.86666667,914.4,621.75
