,name,Highway_Maintenance,Recycle,Sanitation,Street_Cleaning,Street_Lights
1,Allston / Brighton,22.25,121.5333333,13.16666667,2.01,271.8333333
2,Back Bay,33.46666667,35.31666667,13.51166667,3.743333333,87.13333333
3,Beacon Hill,47.08333333,21.58333333,13.69,2.578333333,137.8166667
4,Charlestown,47.68333333,21.48333333,14.03166667,4.031666667,89.18333333
5,Dorchester,26.91666667,212.1666667,11.54166667,1.943333333,125.6833333
6,Downtown / Financial District,28.55,27.05,11.515,2.943333333,65.06666667
7,East Boston,21.98333333,286.3333333,19.15,0.935,340.1666667
8,Fenway / Kenmore / Audubon Circle / Longwood,18.88333333,39.58333333,5.076666667,4.261666667,191.3333333
9,Hyde Park,4.325,66.58333333,14.78166667,1.93,286.5
10,Jamaica Plain,6.145,93.9,13.85833333,2.798333333,166.0833333
11,Mattapan,19.13333333,191.1666667,12.39333333,1.238,143.9333333
12,Mission Hill,21.88333333,149.4833333,13.21666667,2.203333333,110
13,Roslindale,5.175,43.83333333,13.13666667,0.004445,232.1666667
14,Roxbury,17.9,72.13333333,12.915,2.628333333,99.51666667
15,South Boston / South Boston Waterfront,66.86666667,219.3333333,16.8,4.033333333,207.6666667
16,South End,43.26666667,18.15,13.55333333,4.388333333,63.8
17,West Roxbury,18.75,19.23333333,13.115,0.000833333,296.1666667
