,name,Highway_Maintenance,Recycle,Sanitation,Street_Cleaning,Street_Lights
1,Allston / Brighton,119.0655555,360.95,17.35283333,7.649833333,1049.833333
2,Back Bay,113.0116667,199.355,19.167,19.377,596.94
3,Beacon Hill,155.77,178.8983333,19.5405,12.99283333,590.9671667
4,Charlestown,246.795,132.1966667,16.19683333,17.56433333,546.1683333
5,Dorchester,136.48,460.3966667,17.50883333,4.900333333,427.4833333
6,Downtown / Financial District,185.4433333,165.6333333,21.63083333,17.81066667,327.2083333
7,East Boston,113.765,502.9333333,20.54333333,3.148616667,1013.4
8,Fenway / Kenmore / Audubon Circle / Longwood,67.33166667,190.435,18.68333333,13.9945,802.6
9,Hyde Park,22.65616667,244.39,17.83166667,3.418833333,810.6166667
10,Jamaica Plain,44.17366667,459.5,17.05833333,6.1815,499.7333333
11,Mattapan,47.25666667,516.9666667,17.47866667,3.530666667,645.1
12,Mission Hill,61.56333333,314.15,38.51733333,8.739166667,507.7
13,Roslindale,25.01966667,250.125,16.86216667,2.0494445,600.3166667
14,Roxbury,66.617,347.8766667,15.628,10.57583333,412.2333333
15,South Boston / South Boston Waterfront,285.1833333,435.6166667,18.86666667,19.936,792.8666667
16,South End,185.0383333,187.3433333,18.56,18.5805,375.2483333
17,West Roxbury,70.32616667,89.28333333,18.866,1.155888833,538.6833333
