,name,Enforcement_Abandoned_Vehicles,Signal_ Signals
1,Allston / Brighton,391,941
2,Back Bay,87,436
3,Beacon Hill,36,136
4,Charlestown,90,172
5,Dorchester,666,775
6,Downtown / Financial District,164,916
7,East Boston,204,382
8,Fenway / Kenmore / Audubon Circle / Longwood,39,301
9,Hyde Park,178,253
10,Jamaica Plain,212,479
11,Mattapan,234,363
12,Mission Hill,53,167
13,Roslindale,148,338
14,Roxbury,340,572
15,South Boston / South Boston Waterfront,360,395
16,South End,114,186
17,West Roxbury,62,254
