,name,Enforcement_Abandoned_Vehicles,Signal_ Signals
1,Allston / Brighton,313.75,204.272
2,Back Bay,4.153333333,117.7816667
3,Beacon Hill,10.3,268.7166667
4,Charlestown,290.2,234.65
5,Dorchester,309,334.5218333
6,Downtown / Financial District,12.64333333,115.9966667
7,East Boston,216.25,237.0783333
8,Fenway / Kenmore / Audubon Circle / Longwood,4.528333333,115.8
9,Hyde Park,385.5833333,198.1666667
10,Jamaica Plain,364,158.4833333
11,Mattapan,415.75,194.63
12,Mission Hill,53.56666667,234.5783333
13,Roslindale,321.9333333,153.6833333
14,Roxbury,351.6033333,171.4358333
15,South Boston / South Boston Waterfront,40.17166667,168.4433333
16,South End,14.23333333,279.3716667
17,West Roxbury,202.3833333,308.6666667
