,name,time_consume,efficacy,ontime_rate,request_N,SUBJECT
1,Allston / Brighton,18.82444444,1.444249793,0.898066364,4189,Public Works Department
2,Back Bay,24.49666667,1.10983263,0.804051565,2715,Public Works Department
3,Beacon Hill,17.4025,1.562258296,0.83983984,1998,Public Works Department
4,Charlestown,22.21944444,1.223576947,0.805115713,2463,Public Works Department
5,Dorchester,14.90652778,1.823845258,0.908010013,9588,Public Works Department
6,Downtown / Financial District,21.07902778,1.289774855,0.81936553,4224,Public Works Department
7,East Boston,4.83,5.628803589,0.90167364,3824,Public Works Department
8,Fenway / Kenmore / Audubon Circle / Longwood,19.06097222,1.426328085,0.873333333,1200,Public Works Department
9,Hyde Park,4.242222222,5.653235359,0.950832886,3722,Public Works Department
10,Jamaica Plain,14.095,1.928854204,0.910425101,3952,Public Works Department
11,Mattapan,5.419722222,3.762244723,0.917794317,2956,Public Works Department
12,Mission Hill,19.18972222,1.416758392,0.921626984,1008,Public Works Department
13,Roslindale,2.421527778,11.22729223,0.945770065,2766,Public Works Department
14,Roxbury,13.63430556,1.994026066,0.913747646,5310,Public Works Department
15,South Boston / South Boston Waterfront,26.54986111,1.024005357,0.826663669,4448,Public Works Department
16,South End,21.02361111,1.293174605,0.860153257,2610,Public Works Department
17,West Roxbury,2.118888889,9.298115364,0.929005015,3789,Public Works Department
18,Allston / Brighton,1147.390556,0.023324543,0,6,Boston Public School
19,Back Bay,578.3913889,0.069772823,0,1,Boston Public School
20,NA,NA,NA,NA,0,Boston Public School
21,Charlestown,3950.0325,0.006219584,0,6,Boston Public School
22,Dorchester,1491.4325,0.019558109,0.083333333,48,Boston Public School
23,Downtown / Financial District,862.1093056,0.038926805,0.125,8,Boston Public School
24,East Boston,1671.00875,0.014702233,0,6,Boston Public School
25,Fenway / Kenmore / Audubon Circle / Longwood,4856.512222,0.00320724,0,1,Boston Public School
26,Hyde Park,757.0744444,0.026372043,0.235294118,17,Boston Public School
27,Jamaica Plain,2171.096667,0.013435422,0,13,Boston Public School
28,Mattapan,4045.092778,0.007753681,0,12,Boston Public School
29,Mission Hill,2070.648611,0.009642196,0,5,Boston Public School
30,Roslindale,3598.834583,0.007436396,0,14,Boston Public School
31,Roxbury,3285.360556,0.00887866,0.073170732,41,Boston Public School
32,South Boston / South Boston Waterfront,1867.954028,0.017841369,0,16,Boston Public School
33,South End,1194.252361,0.022409334,0,2,Boston Public School
34,West Roxbury,1554.414167,0.021578276,0,11,Boston Public School
35,NA,NA,NA,NA,0,Boston Water & Sewer Commission
36,NA,NA,NA,NA,0,Boston Water & Sewer Commission
37,NA,NA,NA,NA,0,Boston Water & Sewer Commission
38,NA,NA,NA,NA,0,Boston Water & Sewer Commission
39,Dorchester,2467.657778,0.283197832,0,1,Boston Water & Sewer Commission
40,NA,NA,NA,NA,0,Boston Water & Sewer Commission
41,NA,NA,NA,NA,0,Boston Water & Sewer Commission
42,NA,NA,NA,NA,0,Boston Water & Sewer Commission
43,NA,NA,NA,NA,0,Boston Water & Sewer Commission
44,Jamaica Plain,303.9302778,0.086024392,0,1,Boston Water & Sewer Commission
45,NA,NA,NA,NA,0,Boston Water & Sewer Commission
46,NA,NA,NA,NA,0,Boston Water & Sewer Commission
47,NA,NA,NA,NA,0,Boston Water & Sewer Commission
48,Roxbury,40.6025,0.282866753,0,1,Boston Water & Sewer Commission
49,South Boston / South Boston Waterfront,1466.007222,0.285583653,1,1,Boston Water & Sewer Commission
50,NA,NA,NA,NA,0,Boston Water & Sewer Commission
51,NA,NA,NA,NA,0,Boston Water & Sewer Commission
52,Allston / Brighton,96.03444444,0.535938249,0.732371134,2425,Inspectional Services
53,Back Bay,58.67138889,0.463380883,0.741626794,1045,Inspectional Services
54,Beacon Hill,41.85541667,0.649550337,0.808673469,784,Inspectional Services
55,Charlestown,49.32361111,0.826800777,0.821276596,470,Inspectional Services
