,name,time_consume,efficacy,ontime_rate,request_N
1,Allston / Brighton,60.18611112,0.677578253,0.849730087,9077
2,Back Bay,44.9777778,0.755573123,0.81317178,5117
3,Beacon Hill,24.51888888,1.108826755,0.835028608,3146
4,Charlestown,35.53833336,0.883043756,0.824053452,3592
5,Dorchester,31.45388886,0.989435533,0.859130859,16384
6,Downtown / Financial District,38.60472222,0.710741789,0.800104589,7649
7,East Boston,24.63083334,1.115879095,0.84845802,6777
8,Fenway / Kenmore / Audubon Circle / Longwood,46.83499998,1.015855663,0.845213849,2455
9,Hyde Park,17.34333336,1.56758793,0.897182583,5466
10,Jamaica Plain,28.67208336,1.185567588,0.859626059,6846
11,Mattapan,23.99472222,1.186311656,0.852358927,5405
12,Mission Hill,39.29888886,0.864757273,0.869739479,1996
13,Roslindale,17.47611114,1.55567791,0.883102115,4397
14,Roxbury,24.77305554,1.230671872,0.849876331,9299
15,South Boston / South Boston Waterfront,45.44416668,0.685786148,0.822147215,7703
16,South End,42.85597224,0.687938206,0.833186426,4538
17,West Roxbury,15.60250002,1.742489986,0.897723031,5358
