"","name","time_consume","consistency","efficacy","ontime_rate","request_N","SUBJECT"
"1","Allston / Brighton",7.92446860052342,25.2368637786011,0.577991573003382,0.898066364287419,4189,"Public Works Department"
"2","Back Bay",6.37533334526976,21.345696907745,0.720351307218057,0.804051565377532,2715,"Public Works Department"
"3","Beacon Hill",4.20574381789197,13.2959290093343,0.456487698542545,0.83983983983984,1998,"Public Works Department"
"4","Charlestown",7.82598119201215,22.5749690297504,0.982990176987182,0.805115712545676,2463,"Public Works Department"
"5","Dorchester",5.30520504652807,18.3613209590775,0.63732492982726,0.908010012515645,9588,"Public Works Department"
"6","Downtown / Financial District",5.71124139068638,19.2262856829653,0.518672808997215,0.81936553030303,4224,"Public Works Department"
"7","East Boston",4.62630144046374,17.1183035755462,0.517555643548072,0.901673640167364,3824,"Public Works Department"
"8","Fenway / Kenmore / Audubon Circle / Longwood",6.61050814814815,20.8709577183489,0.726259322404541,0.873333333333333,1200,"Public Works Department"
"9","Hyde Park",3.15400768205067,15.0518558611896,0.671667671180397,0.950832885545406,3722,"Public Works Department"
"10","Jamaica Plain",5.17545847859499,19.5447879363086,0.728579853219458,0.910425101214575,3952,"Public Works Department"
"11","Mattapan",4.260807771701,17.0360605398129,0.625152133900002,0.917794316644114,2956,"Public Works Department"
"12","Mission Hill",5.95968805573927,20.5428868634064,0.973390105352994,0.921626984126984,1008,"Public Works Department"
"13","Roslindale",2.53539859169546,12.2620725496984,0.254999206046415,0.945770065075922,2766,"Public Works Department"
"14","Roxbury",4.51403494454907,17.3157253613306,0.883553767326686,0.913747645951036,5310,"Public Works Department"
"15","South Boston / South Boston Waterfront",9.00374957429889,25.4420447345034,0.534887815617637,0.826663669064748,4448,"Public Works Department"
"16","South End",6.67235973996027,21.2786761802578,0.537557425059139,0.860153256704981,2610,"Public Works Department"
"17","West Roxbury",4.63152684916376,22.2874780037852,0.96419169144842,0.929005014515703,3789,"Public Works Department"
"18","Allston / Brighton",28.795475308642,23.3357419534403,54.6415776936249,0,6,"Boston Public School"
"19","Back Bay",9.63985648148147,NA,11.7990899406138,0,1,"Boston Public School"
"20",NA,NA,NA,NA,NA,0,"Boston Public School"
"21","Charlestown",65.6498788580247,32.1458600019988,128.185287267347,0,6,"Boston Public School"
"22","Dorchester",42.644916087963,33.4048634512542,40.4313753149814,0.0833333333333333,48,"Boston Public School"
"23","Downtown / Financial District",27.6179693287037,33.9006412195988,46.0139870693158,0.125,8,"Boston Public School"
"24","East Boston",29.3232391975308,19.4148984143254,57.3313426925336,0,6,"Boston Public School"
"25","Fenway / Kenmore / Audubon Circle / Longwood",80.9418703703703,NA,256.68669250646,0,1,"Boston Public School"
"26","Hyde Park",21.5249033224401,25.1220122915775,29.8354402808185,0.235294117647059,17,"Boston Public School"
"27","Jamaica Plain",47.6340302706553,30.3995403852886,88.3858165901746,0,13,"Boston Public School"
"28","Mattapan",52.3904907407408,32.4496723614937,91.5503562612502,0,12,"Boston Public School"
"29","Mission Hill",48.2311361111111,36.8812186018822,97.1409637556618,0,5,"Boston Public School"
"30","Roslindale",52.9779437830688,31.8496689855077,99.2262798880785,0,14,"Boston Public School"
"31","Roxbury",47.661879403794,35.0679083238903,91.5582538332458,0.0731707317073171,41,"Boston Public School"
"32","South Boston / South Boston Waterfront",38.1856221064815,28.1153153759627,67.9465429193704,0,16,"Boston Public School"
"33","South End",19.9042060185185,2.564614096156,36.7371834967119,0,2,"Boston Public School"
