,,Public Works Department,Boston Public School,Boston Water & Sewer Commission,Inspectional Services,Mayor's 24 Hour Hotline,Parks & Recreation Department,Property Management,Transportation - Traffic Division
1,Allston / Brighton,1.3986 ,0.0233 ,NA,0.5353 ,21.8736 ,2.6187 ,1.3850 ,1.4137 
2,Back Bay,1.0394 ,0.0698 ,NA,0.4634 ,4.4473 ,1.9529 ,2.3444 ,0.6471 
3,Beacon Hill,1.4449 ,NA,NA,0.6496 ,2.9491 ,3.1290 ,1.6753 ,1.9306 
4,Charlestown,1.4607 ,0.0062 ,NA,0.8246 ,2.4619 ,1.6902 ,3.0245 ,1.7487 
5,Dorchester,1.4893 ,0.0196 ,NA,0.4772 ,6.0828 ,5.5012 ,2.1561 ,1.1059 
6,Downtown / Financial District,1.3111 ,0.0389 ,NA,0.4365 ,1.3560 ,5.1344 ,1.6737 ,0.7299 
7,East Boston,0.9382 ,0.0147 ,NA,0.5554 ,6.8685 ,3.5994 ,1.4827 ,2.0941 
8,Fenway / Kenmore / Audubon Circle / Longwood,1.2827 ,0.0032 ,NA,0.3259 ,2.0829 ,60.8388 ,2.7775 ,0.6200 
9,Hyde Park,1.5564 ,0.0264 ,NA,0.5079 ,9.4558 ,2.8016 ,1.0427 ,1.3643 
10,Jamaica Plain,1.4429 ,0.0134 ,0.0860 ,0.5298 ,8.4737 ,3.9596 ,1.7918 ,1.0945 
11,Mattapan,1.4311 ,0.0078 ,NA,1.4129 ,5.8546 ,3.8566 ,0.9526 ,1.0458 
12,Mission Hill,1.4598 ,0.0096 ,NA,0.6514 ,6.3403 ,0.7262 ,2.3493 ,1.4655 
13,Roslindale,1.6010 ,0.0074 ,NA,0.4950 ,5.6015 ,2.6165 ,1.3797 ,1.7146 
14,Roxbury,1.6621 ,0.0089 ,0.2829 ,0.4007 ,4.0912 ,25.9003 ,2.7189 ,1.5417 
15,South Boston / South Boston Waterfront,1.1625 ,0.0178 ,0.2856 ,0.5138 ,3.3057 ,2.2621 ,2.2661 ,1.4716 
16,South End,1.4056 ,0.0224 ,NA,0.3826 ,5.3096 ,3.3830 ,3.0729 ,1.2579 
17,West Roxbury,1.6462 ,0.0216 ,NA,0.4591 ,4.6458 ,2.3744 ,0.7882 ,1.2964 
