,,Public Works Department,Boston Public School,Boston Water & Sewer Commission,Inspectional Services,Mayor's 24 Hour Hotline,Parks & Recreation Department,Property Management,Transportation - Traffic Division
1,Allston / Brighton,0.8785 ,0.0000 ,NA,0.7320 ,0.7778 ,0.9922 ,0.9036 ,0.8380 
2,Back Bay,0.7983 ,0.0000 ,NA,0.7416 ,0.8571 ,0.9907 ,0.9324 ,0.8249 
3,Beacon Hill,0.8369 ,NA,NA,0.8087 ,1.0000 ,0.9667 ,0.8714 ,0.8114 
4,Charlestown,0.8468 ,0.0000 ,NA,0.8209 ,1.0000 ,0.9885 ,0.8539 ,0.8333 
5,Dorchester,0.9086 ,0.0833 ,NA,0.7166 ,1.0000 ,0.9703 ,0.9179 ,0.8298 
6,Downtown / Financial District,0.8402 ,0.1250 ,NA,0.7152 ,0.6667 ,0.9661 ,0.8511 ,0.7968 
7,East Boston,0.8556 ,0.0000 ,NA,0.7012 ,0.8333 ,0.9856 ,0.8529 ,0.8798 
8,Fenway / Kenmore / Audubon Circle / Longwood,0.8348 ,0.0000 ,NA,0.6878 ,1.0000 ,0.9744 ,0.9326 ,0.8215 
9,Hyde Park,0.9108 ,0.2353 ,NA,0.6952 ,1.0000 ,0.9728 ,0.6842 ,0.8324 
10,Jamaica Plain,0.8928 ,0.0000 ,0.0000 ,0.7338 ,1.0000 ,0.9946 ,0.8217 ,0.8029 
11,Mattapan,0.9027 ,0.0000 ,NA,0.7165 ,1.0000 ,0.9860 ,0.6765 ,0.8217 
12,Mission Hill,0.9254 ,0.0000 ,NA,0.7705 ,1.0000 ,0.9375 ,0.8398 ,0.8557 
13,Roslindale,0.9127 ,0.0000 ,NA,0.6862 ,0.6000 ,0.9871 ,0.7738 ,0.8210 
14,Roxbury,0.9013 ,0.0732 ,0.0000 ,0.6984 ,0.9375 ,0.9438 ,0.8926 ,0.8400 
15,South Boston / South Boston Waterfront,0.8675 ,0.0000 ,1.0000 ,0.7327 ,0.9333 ,0.9724 ,0.8343 ,0.9042 
16,South End,0.8631 ,0.0000 ,NA,0.7066 ,1.0000 ,0.9932 ,0.8759 ,0.8521 
17,West Roxbury,0.9067 ,0.0000 ,NA,0.6690 ,1.0000 ,0.9888 ,0.6923 ,0.7889 
