,Building,Code_Enforcement,Environmental_Services,Housing
Allston / Brighton,0.121625418,0.798645904,0.369217373,2.41677329
Back Bay,0.107354952,0.680825112,0.469202884,1.209433329
Beacon Hill,0.140205838,0.825337468,0.669929365,1.711779405
Charlestown,0.635105659,0.760666198,0.301036157,3.400976224
Dorchester,0.141531626,0.855984216,0.372465381,2.398849422
Downtown / Financial District,0.140783511,0.801244634,0.14708581,1.178252542
East Boston,0.061915626,0.704163482,0.323142318,2.151655338
Fenway / Kenmore / Audubon Circle / Longwood,0.10974141,0.62200164,0.300989415,1.172984666
Hyde Park,0.080429195,0.836259048,0.275100333,0.894595593
Jamaica Plain,0.076423696,0.649074514,0.261994878,2.660072873
Mattapan,0.067988024,0.743755799,0.257401832,2.026386231
Mission Hill,0.141326371,0.652431732,0.327825645,1.970799427
Roslindale,0.052578731,0.754158994,0.27910088,1.42093583
Roxbury,0.094161855,0.629227976,0.24342895,2.020287318
South Boston / South Boston Waterfront,0.124647833,0.658311958,0.387717758,1.854563448
South End,0.093617232,0.629708845,0.244505903,2.58043871
West Roxbury,0.064540734,0.703114297,0.401018081,1.628688372
