,,Highway Maintenance,Recycling,Sanitation,Street Cleaning,Street Lights
1,Allston / Brighton,0.7622 ,0.7259 ,2.1082 ,6.8301 ,0.4557 
2,Back Bay,0.5708 ,1.1264 ,1.5231 ,3.1478 ,0.9995 
3,Beacon Hill,0.5707 ,1.2809 ,1.6465 ,4.2172 ,0.8093 
4,Charlestown,0.8526 ,1.3952 ,2.2064 ,3.4678 ,0.9253 
5,Dorchester,0.7666 ,0.6911 ,2.4023 ,5.1440 ,0.7787 
6,Downtown / Financial District,0.7875 ,1.1811 ,1.8016 ,3.5909 ,1.4616 
7,East Boston,0.6898 ,0.5239 ,0.9728 ,3.9238 ,0.3285 
8,Fenway / Kenmore / Audubon Circle / Longwood,1.2062 ,1.2039 ,3.4746 ,3.5413 ,0.5088 
9,Hyde Park,0.6927 ,1.0984 ,1.7536 ,3.3600 ,0.3913 
10,Jamaica Plain,0.8507 ,0.7234 ,1.6095 ,5.6903 ,0.6188 
11,Mattapan,0.8287 ,0.6814 ,1.7059 ,5.2896 ,0.5467 
12,Mission Hill,1.0823 ,1.0337 ,1.8156 ,5.6046 ,0.6299 
13,Roslindale,0.9686 ,0.9332 ,2.3170 ,6.0491 ,0.5177 
14,Roxbury,1.0132 ,1.1108 ,1.9110 ,5.0662 ,0.8341 
15,South Boston / South Boston Waterfront,0.6814 ,0.6211 ,1.5657 ,3.3433 ,0.7903 
16,South End,0.8534 ,1.2969 ,1.4310 ,2.7175 ,1.3675 
17,West Roxbury,0.6746 ,1.0737 ,1.9775 ,7.6957 ,0.4035 
