,Building,Code_Enforcement,Environmental_Services,Housing
Allston / Brighton,0.335064935,0.965306122,0.574652778,0.785046729
Back Bay,0.368821293,0.943686007,0.627906977,0.618181818
Beacon Hill,0.383928571,0.949290061,0.711538462,0.717391304
Charlestown,0.686746988,0.949074074,0.541666667,0.903846154
Dorchester,0.300518135,0.950608447,0.596182085,0.810400867
Downtown / Financial District,0.392971246,0.957908163,0.344827586,0.651162791
East Boston,0.267368421,0.953601954,0.557142857,0.808
Fenway / Kenmore / Audubon Circle / Longwood,0.408695652,0.992366412,0.528301887,0.732283465
Hyde Park,0.294372294,0.95631068,0.475409836,0.68220339
Jamaica Plain,0.340694006,0.946348733,0.472222222,0.820143885
Mattapan,0.260273973,0.932242991,0.47972973,0.782193959
Mission Hill,0.386363636,0.96347032,0.536585366,0.781954887
Roslindale,0.227272727,0.954545455,0.5,0.815068493
Roxbury,0.285714286,0.931082982,0.476683938,0.796082949
South Boston / South Boston Waterfront,0.396039604,0.957746479,0.56969697,0.783333333
South End,0.342657343,0.944230769,0.422018349,0.826530612
West Roxbury,0.294416244,0.965065502,0.575757576,0.842105263
