,Enforcement & Abandoned Vehicles,Signs & Signals
Allston / Brighton,0.994065282,0.779837775
Back Bay,0.931034483,0.7825
Beacon Hill,1,0.728813559
Charlestown,0.966666667,0.756756757
Dorchester,0.980461812,0.698608964
Downtown / Financial District,0.914634146,0.751196172
East Boston,0.979899497,0.804270463
Fenway / Kenmore / Audubon Circle / Longwood,1,0.794326241
Hyde Park,0.955555556,0.754010695
Jamaica Plain,0.966666667,0.724537037
Mattapan,0.984536082,0.717687075
Mission Hill,0.981132075,0.7890625
Roslindale,0.993197279,0.732258065
Roxbury,0.979104478,0.738229755
South Boston / South Boston Waterfront,0.977142857,0.830508475
South End,0.96460177,0.770700637
West Roxbury,0.950819672,0.725806452
