,,Highway Maintenance,Recycling,Sanitation,Street Cleaning,Street Lights
1,Allston / Brighton,642,491,623,476,456
2,Back Bay,719,98,248,328,779
3,Beacon Hill,378,56,347,399,530
4,Charlestown,537,236,308,216,440
5,Dorchester,896,1025,1640,1151,1170
6,Downtown / Financial District,1088,81,341,576,957
7,East Boston,334,552,377,432,335
8,Fenway / Kenmore / Audubon Circle / Longwood,345,32,83,154,274
9,Hyde Park,234,362,483,472,266
10,Jamaica Plain,466,569,732,535,483
11,Mattapan,263,253,472,440,337
12,Mission Hill,179,113,157,120,115
13,Roslindale,204,273,448,398,281
14,Roxbury,837,392,988,930,783
15,South Boston / South Boston Waterfront,691,647,736,648,500
16,South End,674,155,407,357,428
17,West Roxbury,442,354,712,461,260
