,Building,Code_Enforcement,Environmental_Services,Housing
Allston / Brighton,0.937651039,0.142460126,1.804615756,1.115273079
Back Bay,1.458445565,0.069836917,0.986336255,1.485381263
Beacon Hill,1.252904615,0.106020819,1.246103565,1.394971001
Charlestown,0.320027204,0.115920125,2.935786749,1.033759658
Dorchester,0.906804552,0.146256529,1.62085158,1.326087339
Downtown / Financial District,0.640880401,0.048755973,2.403727396,0.90663623
East Boston,1.41149687,0.080612614,1.41149687,0.080612614
Fenway / Kenmore / Audubon Circle / Longwood,1.594965202,0.091600248,0.989503181,1.323931369
Hyde Park,0.944232852,0.107072178,0.940498861,1.801183675
Jamaica Plain,1.428058646,0.149322142,1.625203634,0.797415578
Mattapan,1.189702932,0.075556405,1.778584392,0.956156271
Mission Hill,0.887396819,0.098084344,1.565750082,1.448768754
Roslindale,1.542019069,0.09828207,1.348580358,1.011118502
Roxbury,0.957709354,0.117478325,1.949013477,0.975798845
South Boston / South Boston Waterfront,0.918474458,0.129577793,1.624679263,1.327268486
South End,3.254301323,0.170700555,3.964408763,3.548390559
West Roxbury,1.582723469,0.138085721,1.108826616,1.170364193
