,,Highway Maintenance,Recycling,Sanitation,Street Cleaning,Street Lights
1,Allston / Brighton,0.8338 ,1.0851 ,0.9972 ,0.6166 ,1.5624 
2,Back Bay,1.4355 ,0.2708 ,1.0161 ,1.3998 ,0.5471 
3,Beacon Hill,1.5177 ,0.1965 ,1.0347 ,0.9212 ,0.8293 
4,Charlestown,0.8680 ,0.2299 ,1.0645 ,1.1821 ,0.6500 
5,Dorchester,0.9112 ,2.2736 ,0.8788 ,0.7600 ,0.7207 
6,Downtown / Financial District,0.8207 ,0.4226 ,0.8663 ,1.1460 ,0.3503 
7,East Boston,1.0317 ,3.0739 ,1.4404 ,1.0275 ,1.8951 
8,Fenway / Kenmore / Audubon Circle / Longwood,0.6945 ,0.4348 ,0.3853 ,1.4649 ,1.0885 
9,Hyde Park,0.7843 ,0.5434 ,1.1166 ,1.1793 ,1.7953 
10,Jamaica Plain,0.9576 ,0.9825 ,1.0473 ,0.8697 ,0.9459 
11,Mattapan,0.7997 ,2.0127 ,0.9263 ,0.6584 ,0.8652 
12,Mission Hill,0.6670 ,1.5521 ,0.9778 ,0.8608 ,0.6558 
13,Roslindale,0.8039 ,0.4647 ,0.9952 ,0.7318 ,1.2868 
14,Roxbury,0.7972 ,0.7202 ,0.9764 ,0.8408 ,0.5442 
15,South Boston / South Boston Waterfront,1.3350 ,2.3393 ,1.2719 ,1.2098 ,1.1902 
16,South End,1.2929 ,0.1942 ,1.0244 ,1.5494 ,0.3580 
17,West Roxbury,1.4493 ,0.2036 ,0.9807 ,0.5819 ,1.7150 
