,Enforcement & Abandoned Vehicles,Signs & Signals
Allston / Brighton,1.492194484,1.165690728
Back Bay,0.074871067,0.66720024
Beacon Hill,0.075799968,0.924412393
Charlestown,0.448609722,1.144012487
Dorchester,1.604525993,1.672560811
Downtown / Financial District,0.065810567,0.717156911
East Boston,0.392697281,1.028283039
Fenway / Kenmore / Audubon Circle / Longwood,0.06432586,0.698101496
Hyde Park,2.303750257,0.855531286
Jamaica Plain,2.243096235,1.187417567
Mattapan,3.63062315,0.860306093
Mission Hill,0.219740348,0.941747797
Roslindale,0.993184693,0.840872551
Roxbury,2.235198625,0.781150127
South Boston / South Boston Waterfront,0.074690252,0.890456494
South End,0.069187314,1.358060999
West Roxbury,1.011694184,1.267038981
