name,Public Works Department,Boston Public School,Boston Water & Sewer Commission,Inspectional Services,Mayor's 24 Hour Hotline,Parks & Recreation Department,Property Management,Transportation - Traffic Division,population,area,density,age,income,white,black.african,asian,hispanic.latino,age.over.18,male,female
Allston / Brighton,0.978615727,0.032687695,NA,1.055674529,0.136268879,1.31721926,1.189459568,1.179115471,75009,4.45,16855.95506,26.4,47814,0.713301071,0.051033876,0.154781426,0.099201429,0.927608687,0.495140583,0.504859417
Back Bay,1.339180885,0.016477632,NA,0.644052338,0.947309498,1.766334225,0.701627058,0.736033453,20531,0.637,32230.76923,35.35,96639,0.820612732,0.039696069,0.104183917,0.053772344,0.941503093,0.4960791,0.5039209
Beacon Hill,0.947207516,NA,NA,0.459458681,0.813903921,1.102401467,0.987365826,0.863443909,11046,0.382,28916.23037,32.45,88812,0.869183415,0.021817853,0.081749049,0.043635705,0.928209307,0.456273764,0.543726236
Charlestown,0.949067643,0.112531415,NA,0.54286315,1.767166922,2.040811402,0.547479889,0.953255807,16439,1.348,12195.10386,34.6,85952,0.800778636,0.057728572,0.081452643,0.096782043,0.836668897,0.461646086,0.538353914
Dorchester,0.918960766,0.042489011,NA,1.09450968,0.722189562,0.6269753,0.761857229,1.676527894,114249,7.282,15689.23373,32.6,46982,0.265043895,0.463058758,0.093471278,0.169865819,0.747656435,0.471548985,0.528451015
Downtown / Financial District,1.043906027,0.024560396,NA,0.685491514,3.610138512,0.671815123,0.984144516,0.541713851,28000,1.108,25270.75812,31,71817,0.721714286,0.049821429,0.196928571,0.051428571,0.939642857,0.506107143,0.493892857
East Boston,1.471439961,0.047604914,NA,0.806025173,0.61156062,0.958327951,1.108082086,0.796033015,40517,5.332,7598.837209,32.3,50513,0.647925562,0.044721969,0.035762766,0.52869166,0.777229311,0.526174198,0.473825802
Fenway / Kenmore / Audubon Circle / Longwood,1.079292074,0.138355827,NA,1.82622927,1.735255023,0.056692865,0.591465483,0.576102943,38826,1.165,33327.03863,32.3,31827,0.703291609,0.056611549,0.177587184,0.082676557,0.978931644,0.45588008,0.54411992
Hyde Park,0.879358598,0.021568088,NA,1.028203791,0.507682366,1.231217171,1.604568093,1.309070725,32317,4.979,6490.660775,38.4,62069,0.350249095,0.496487917,0.016802302,0.201349135,0.765139091,0.471299935,0.528700065
Jamaica Plain,0.948564226,0.061851777,0.167867229,1.023732104,0.523813043,0.871156214,0.911761756,1.631754499,35459,3.081,11508.92567,34.7,81624,0.633351194,0.149524803,0.047970896,0.257677881,0.827067881,0.458501368,0.541498632
Mattapan,0.865766328,0.115239553,NA,1.584241233,0.762433826,0.894404556,1.728619609,1.808451602,22500,2.731,8238.740388,36.4,41229,0.0864,0.798444444,0.017377778,0.120977778,0.754444444,0.456044444,0.543955556
Mission Hill,0.93755197,0.058990132,NA,0.799440359,0.518497427,0.014023268,0.70010017,0.731172175,16874,0.647,26080.37094,24.4,33232,0.545158232,0.181107029,0.150171862,0.190589072,0.882837501,0.496977599,0.503022401
Roslindale,0.854893351,0.102526198,NA,1.055136276,0.803450603,1.318323497,1.192451136,0.972221654,26368,2.09,12616.26794,37.6,64774,0.601790049,0.225728155,0.025902609,0.233464806,0.785270024,0.460292779,0.539707221
Roxbury,0.823450991,0.093595719,0.02242563,1.489706991,1.042733282,0.13316957,0.606131248,1.103568578,49111,3.507,14003.70687,30,28628,0.184276435,0.575614424,0.021033984,0.288631875,0.753822972,0.46881554,0.53118446
South Boston / South Boston Waterfront,1.177346456,0.053215638,0.809707141,0.955230758,0.768613932,1.524854894,0.727627891,0.361724948,33674,3.029,11117.2004,32.8,68721,0.824523371,0.059155431,0.048910138,0.099334798,0.865920295,0.475351904,0.524648096
South End,0.973678881,0.034022727,NA,0.974999012,0.791114669,1.019551859,0.53692237,0.473259315,25703,0.767,33511.08214,36.3,57984,0.566626464,0.165661596,0.163132708,0.15009921,0.867097226,0.515776369,0.484223631
West Roxbury,0.811718597,0.044283278,NA,0.975005141,0.937867914,1.452721377,2.120336069,1.28655016,30445,5.135,5928.919182,42.2,80175,0.771916571,0.10638857,0.064838233,0.084513056,0.792215471,0.458203317,0.541796683
