CFisoKop_Flex_ID,CFisoKop_Flex_Exp,CFisoKop_Flex_Sim,CFisoKop_Step_ID,CFisoKop_Step_Exp,CFisoKop_Step_Sim,GisoKop_Aldi_ID,GisoKop_Aldi_Exp,GisoKop_Aldi_Sim,GisoKop_Cload_ID,GisoKop_Cload_Exp,GisoKop_Cload_Sim,VMtisoKop_Flex_ID,VMtisoKop_Flex_Exp,VMtisoKop_Flex_Sim,VMtisoKop_Step_ID,VMtisoKop_Step_Exp,VMtisoKop_Step_Sim,GTisoKop_Aldi_ID,GTisoKop_Aldi_Exp,GTisoKop_Aldi_Sim,GTisoKop_Cload_ID,GTisoKop_Cload_Exp,GTisoKop_Cload_Sim
2,-0.1123,0.9276,2,0.031,0.119,2,0.031,0.6252,2,0.031,0.7129,2,0.031,0.9066,2,0.031,0.0973,2,0.031,0.5303,2,0.031,0.5799
3,-0.147,0.925,3,-0.0153,0.1056,3,-0.0153,0.6458,3,-0.0153,0.7489,3,-0.0153,0.9424,3,-0.0153,0.0683,3,-0.0153,0.6075,3,-0.0153,0.6651
6,0.0229,0.8815,6,0.3205,0.2775,6,0.3205,0.604,6,0.3205,0.7397,6,0.3205,0.8768,6,0.3205,0.3478,6,0.3205,0.6103,6,0.3205,0.7303
7,0.0451,0.8799,7,0.4174,0.308,7,0.4174,0.6153,7,0.4174,0.7552,7,0.4174,0.8747,7,0.4174,0.3574,7,0.4174,0.6212,7,0.4174,0.7532
17,-0.0174,0.324,9,-0.0122,0.1638,9,-0.0122,0.4055,9,-0.0122,0.4261,9,-0.0122,0.7383,9,-0.0122,0.1811,9,-0.0122,0.4855,9,-0.0122,0.547
18,-0.1047,0.3161,10,0.0307,0.1716,10,0.0307,0.3567,10,0.0307,0.3529,10,0.0307,0.6737,10,0.0307,0.2147,10,0.0307,0.4529,10,0.0307,0.511
19,-0.1054,0.3036,11,-0.0203,0.1529,11,-0.0203,0.4071,11,-0.0203,0.3966,11,-0.0203,0.7504,11,-0.0203,0.282,11,-0.0203,0.4808,11,-0.0203,0.5373
20,0.0539,0.2989,12,-0.0235,0.1509,12,-0.0235,0.416,12,-0.0235,0.4061,12,-0.0235,0.7652,12,-0.0235,0.2991,12,-0.0235,0.5027,12,-0.0235,0.5701
21,-0.1006,0.3249,13,-0.032,0.1469,13,-0.032,0.3461,13,-0.032,0.3372,13,-0.032,0.5587,13,-0.032,0.22,13,-0.032,0.387,13,-0.032,0.4194
22,-0.1011,0.3167,14,0.1698,0.1537,14,0.1698,0.3473,14,0.1698,0.3372,14,0.1698,0.5855,14,0.1698,0.2263,14,0.1698,0.3981,14,0.1698,0.4384
23,0.028,0.2886,15,0.0987,0.1138,15,0.0987,0.357,15,0.0987,0.3448,15,0.0987,0.6384,15,0.0987,0.204,15,0.0987,0.4323,15,0.0987,0.4594
24,-0.0013,0.285,16,0.1058,0.1091,16,0.1058,0.3541,16,0.1058,0.3414,16,0.1058,0.6445,16,0.1058,0.1883,16,0.1058,0.4283,16,0.1058,0.4606
25,-0.0239,0.2033,17,-0.0174,0.1382,17,-0.0174,0.3413,17,-0.0174,0.3318,17,-0.0174,0.5497,17,-0.0174,0.2267,17,-0.0174,0.3786,17,-0.0174,0.4109
26,0.0372,0.2318,18,-0.1047,0.1205,18,-0.1047,0.3318,18,-0.1047,0.3219,18,-0.1047,0.52,18,-0.1047,0.2,18,-0.1047,0.3509,18,-0.1047,0.3794
27,-0.1189,0.221,19,-0.1054,0.1029,19,-0.1054,0.3282,19,-0.1054,0.3182,19,-0.1054,0.5512,19,-0.1054,0.1493,19,-0.1054,0.3779,19,-0.1054,0.3975
28,-0.0079,0.1844,20,0.0539,0.0915,20,0.0539,0.3221,20,0.0539,0.3117,20,0.0539,0.5294,20,0.0539,0.1294,20,0.0539,0.3576,20,0.0539,0.3743
29,-0.0044,0.0041,21,-0.1006,0.1367,21,-0.1006,0.3402,21,-0.1006,0.3305,21,-0.1006,0.5445,21,-0.1006,0.2378,21,-0.1006,0.3734,21,-0.1006,0.4067
30,-0.0579,0.0001,22,-0.1011,0.1218,22,-0.1011,0.3307,22,-0.1011,0.3208,22,-0.1011,0.5094,22,-0.1011,0.2155,22,-0.1011,0.3421,22,-0.1011,0.3729
31,-0.0563,0.0089,23,0.028,0.0939,23,0.028,0.3136,23,0.028,0.304,23,0.028,0.4601,23,0.028,0.1317,23,0.028,0.3234,23,0.028,0.3398
32,0.0033,0.006,24,-0.0013,0.0822,24,-0.0013,0.3086,24,-0.0013,0.2987,24,-0.0013,0.4489,24,-0.0013,0.1126,24,-0.0013,0.3087,24,-0.0013,0.3229
38,-0.0293,0.9027,25,-0.0239,0.0633,25,-0.0239,0.223,25,-0.0239,0.2151,25,-0.0239,0.2639,25,-0.0239,0.0971,25,-0.0239,0.1821,25,-0.0239,0.1935
39,0.0046,0.8643,26,0.0372,0.077,26,0.0372,0.2438,26,0.0372,0.2363,26,0.0372,0.3642,26,0.0372,0.1385,26,0.0372,0.248,26,0.0372,0.2663
42,0.0397,0.832,27,-0.1189,0.0689,27,-0.1189,0.2468,27,-0.1189,0.2383,27,-0.1189,0.2326,27,-0.1189,0.0635,27,-0.1189,0.1722,27,-0.1189,0.1803
43,-0.0047,0.8014,28,-0.0079,0.0431,28,-0.0079,0.204,28,-0.0079,0.1972,28,-0.0079,0.1577,28,-0.0079,0.0249,28,-0.0079,0.1211,28,-0.0079,0.1248
45,0.1459,0.4126,29,-0.0044,-0.0137,29,-0.0044,0.0041,29,-0.0044,0.0041,29,-0.0044,0.0465,29,-0.0044,0.0151,29,-0.0044,0.0345,29,-0.0044,0.0349
46,0.1636,0.6129,30,-0.0579,-0.0179,30,-0.0579,0.0001,30,-0.0579,0.0002,30,-0.0579,0.0391,30,-0.0579,0.0108,30,-0.0579,0.0295,30,-0.0579,0.0295
47,0.05,0.4864,31,-0.0563,-0.0527,31,-0.0563,0.0101,31,-0.0563,0.0098,31,-0.0563,0.0169,31,-0.0563,-0.0561,31,-0.0563,0.0146,31,-0.0563,0.0148
48,0.1481,0.585,32,0.0033,-0.0441,32,0.0033,0.0062,32,0.0033,0.0061,32,0.0033,0.0144,32,0.0033,-0.0446,32,0.0033,0.0121,32,0.0033,0.0123
49,0.0363,0.2986,38,0.1186,0.2411,38,0.1186,0.577,38,0.1186,0.6728,38,0.1186,0.8961,38,0.1186,0.1749,38,0.1186,0.5609,38,0.1186,0.6236
