CFisoKop_Step_ID,CFisoKop_Step_Exp,CFisoKop_Step_Sim,CFisoKop_Uni_ID,CFisoKop_Uni_Exp,CFisoKop_Uni_Sim,GisoKop_Aldi_ID,GisoKop_Aldi_Exp,GisoKop_Aldi_Sim,GisoKop_Cload_ID,GisoKop_Cload_Exp,GisoKop_Cload_Sim,GTisoKop_Aldi_ID,GTisoKop_Aldi_Exp,GTisoKop_Aldi_Sim,GTisoKop_Cload_ID,GTisoKop_Cload_Exp,GTisoKop_Cload_Sim,GtisoKop_Step_ID,GtisoKop_Step_Exp,GtisoKop_Step_Sim,GTisoKop_Uni_ID,GTisoKop_Uni_Exp,GTisoKop_Uni_Sim
2,0.864,0.0549,2,0.864,0.1005,2,0.864,0.0987,2,0.864,0.096,2,0.864,0.1282,2,0.864,0.1152,2,0.864,0.6254,2,0.864,0.1093
3,0.9281,0.1439,3,0.9281,0.1035,3,0.9281,0.0961,3,0.9281,0.0981,3,0.9281,0.1162,3,0.9281,0.1092,3,0.9281,0.587,3,0.9281,0.1039
6,0.6465,0.0588,6,0.6465,0.103,6,0.6465,0.1017,6,0.6465,0.0985,6,0.6465,0.1247,6,0.6465,0.112,6,0.6465,0.5446,6,0.6465,0.1086
7,0.7745,0.0882,7,0.7745,0.1057,7,0.7745,0.0985,7,0.7745,0.0995,7,0.7745,0.119,7,0.7745,0.1109,7,0.7745,0.5437,7,0.7745,0.1061
9,0.2609,0.045,9,0.2609,0.0918,9,0.2609,0.0856,9,0.2609,0.0857,9,0.2609,0.1112,9,0.2609,0.102,9,0.2609,0.4655,9,0.2609,0.0968
10,-0.0044,0.0446,10,-0.0044,0.0899,10,-0.0044,0.0777,10,-0.0044,0.0809,10,-0.0044,0.0993,10,-0.0044,0.0938,10,-0.0044,0.2982,10,-0.0044,0.09
11,0.1059,0.0463,11,0.1059,0.0954,11,0.1059,0.0903,11,0.1059,0.0891,11,0.1059,0.1125,11,0.1059,0.1019,11,0.1059,0.45,11,0.1059,0.0986
12,0.0624,0.0428,12,0.0624,0.0917,12,0.0624,0.0785,12,0.0624,0.0815,12,0.0624,0.0991,12,0.0624,0.0928,12,0.0624,0.2475,12,0.0624,0.0892
13,0.0093,0.0318,13,0.0093,0.0779,13,0.0093,0.0681,13,0.0093,0.0701,13,0.0093,0.088,13,0.0093,0.0817,13,0.0093,0.2566,13,0.0093,0.0771
14,-0.0286,0.0341,14,-0.0286,0.0772,14,-0.0286,0.0648,14,-0.0286,0.0679,14,-0.0286,0.0807,14,-0.0286,0.0766,14,-0.0286,0.1733,14,-0.0286,0.0742
15,0.0501,0.0291,15,0.0501,0.0795,15,0.0501,0.0696,15,0.0501,0.0709,15,0.0501,0.0856,15,0.0501,0.0788,15,0.0501,0.1966,15,0.0501,0.0754
16,0.06,0.0323,16,0.06,0.0791,16,0.06,0.0661,16,0.06,0.0688,16,0.06,0.0804,16,0.06,0.0757,16,0.06,0.14,16,0.06,0.074
17,-0.0069,0.0125,17,-0.0069,0.0577,17,-0.0069,0.0475,17,-0.0069,0.0505,17,-0.0069,0.06,17,-0.0069,0.0573,17,-0.0069,0.0829,17,-0.0069,0.0552
18,0.0232,0.0221,18,0.0232,0.0617,18,0.0232,0.0502,18,0.0232,0.0534,18,0.0232,0.0649,18,0.0232,0.0622,18,0.0232,0.0919,18,0.0232,0.061
19,0.0923,0.0123,19,0.0923,0.0602,19,0.0923,0.0495,19,0.0923,0.052,19,0.0923,0.0622,19,0.0923,0.0585,19,0.0923,0.0886,19,0.0923,0.0563
20,0.0336,0.0207,20,0.0336,0.0631,20,0.0336,0.0509,20,0.0336,0.0538,20,0.0336,0.0646,20,0.0336,0.0611,20,0.0336,0.0919,20,0.0336,0.0604
21,-0.0232,-0.0215,21,-0.0232,0.0375,21,-0.0232,0.0286,21,-0.0232,0.0315,21,-0.0232,0.0339,21,-0.0232,0.0323,21,-0.0232,0.0148,21,-0.0232,0.031
22,-0.0273,0.0123,22,-0.0273,0.0486,22,-0.0273,0.0377,22,-0.0273,0.041,22,-0.0273,0.0512,22,-0.0273,0.0491,22,-0.0273,0.0707,22,-0.0273,0.0481
23,0.0691,-0.0299,23,0.0691,0.0338,23,0.0691,0.0265,23,0.0691,0.0288,23,0.0691,0.0298,23,0.0691,0.0285,23,0.0691,0.0008,23,0.0691,0.0276
24,-0.0781,0.0102,24,-0.0781,0.0483,24,-0.0781,0.0376,24,-0.0781,0.0406,24,-0.0781,0.0502,24,-0.0781,0.0479,24,-0.0781,0.0656,24,-0.0781,0.0473
25,-0.0617,-0.0479,25,-0.0617,0.0293,25,-0.0617,0.0215,25,-0.0617,0.0241,25,-0.0617,0.0218,25,-0.0617,0.0209,25,-0.0617,-0.0269,25,-0.0617,0.0199
26,-0.0133,0.0024,26,-0.0133,0.0344,26,-0.0133,0.0247,26,-0.0133,0.0276,26,-0.0133,0.0359,26,-0.0133,0.0342,26,-0.0133,0.0505,26,-0.0133,0.0335
27,-0.095,-0.0591,27,-0.095,0.0244,27,-0.095,0.0183,27,-0.095,0.0202,27,-0.095,0.0177,27,-0.095,0.0169,27,-0.095,-0.0422,27,-0.095,0.0163
28,-0.0189,-0.0019,28,-0.0189,0.0308,28,-0.0189,0.0225,28,-0.0189,0.0249,28,-0.0189,0.032,28,-0.0189,0.0307,28,-0.0189,0.0415,28,-0.0189,0.0303
29,-0.0431,-0.1574,29,-0.0431,0.0024,29,-0.0431,0.0018,29,-0.0431,0.0019,29,-0.0431,0.0022,29,-0.0431,0.0022,29,-0.0431,-0.1757,29,-0.0431,0.0021
30,-0.0452,-0.0182,30,-0.0452,0.0058,30,-0.0452,0.0055,30,-0.0452,0.0056,30,-0.0452,0.0093,30,-0.0452,0.0091,30,-0.0452,0.0053,30,-0.0452,0.0091
31,-0.0803,-0.1192,31,-0.0803,0.002,31,-0.0803,0.0017,31,-0.0803,0.0018,31,-0.0803,0.0015,31,-0.0803,0.0015,31,-0.0803,-0.1463,31,-0.0803,0.0015
32,0.0573,-0.0191,32,0.0573,0.0052,32,0.0573,0.005,32,0.0573,0.0051,32,0.0573,0.0083,32,0.0573,0.0082,32,0.0573,0.0073,32,0.0573,0.0083
38,0.1865,0.0081,38,0.1865,0.1084,38,0.1865,0.1082,38,0.1865,0.1021,38,0.1865,0.1114,38,0.1865,0.1003,38,0.1865,0.1143,38,0.1865,0.1078
39,0.1642,0.0455,39,0.1642,0.118,39,0.1642,0.1233,39,0.1642,0.1167,39,0.1642,0.1339,39,0.1642,0.1208,39,0.1642,0.1432,39,0.1642,0.1161
42,0.2249,-0.0108,42,0.2249,0.1104,42,0.2249,0.1084,42,0.2249,0.102,42,0.2249,0.1101,42,0.2249,0.1001,42,0.2249,0.0545,42,0.2249,0.1102
43,0.065,0.0245,43,0.065,0.1203,43,0.065,0.1324,43,0.065,0.122,43,0.065,0.1393,43,0.065,0.1236,43,0.065,0.0767,43,0.065,0.1182
45,0.056,0.0119,45,0.056,0.1037,45,0.056,0.1013,45,0.056,0.0963,45,0.056,0.1103,45,0.056,0.0994,45,0.056,0.1221,45,0.056,0.104
46,0.034,0.0231,46,0.034,0.1002,46,0.034,0.087,46,0.034,0.0869,46,0.034,0.1037,46,0.034,0.0959,46,0.034,0.0994,46,0.034,0.0974
47,0.0831,-0.0087,47,0.0831,0.1055,47,0.0831,0.1021,47,0.0831,0.0964,47,0.0831,0.1089,47,0.0831,0.0987,47,0.0831,0.0559,47,0.0831,0.106
48,-0.0529,0.007,48,-0.0529,0.103,48,-0.0529,0.0892,48,-0.0529,0.0881,48,-0.0529,0.1051,48,-0.0529,0.0968,48,-0.0529,0.0567,48,-0.0529,0.1008
49,0.1321,0.0053,49,0.1321,0.0891,49,0.1321,0.0755,49,0.1321,0.0762,49,0.1321,0.0904,49,0.1321,0.0827,49,0.1321,0.0784,49,0.1321,0.085
50,0.0591,0.0112,50,0.0591,0.0869,50,0.0591,0.0703,50,0.0591,0.072,50,0.0591,0.082,50,0.0591,0.0764,50,0.0591,0.0714,50,0.0591,0.0806
51,-0.1429,-0.0127,51,-0.1429,0.0925,51,-0.1429,0.0784,51,-0.1429,0.0781,51,-0.1429,0.0929,51,-0.1429,0.0849,51,-0.1429,0.0368,51,-0.1429,0.0906
52,-0.1102,-0.0043,52,-0.1102,0.0896,52,-0.1102,0.072,52,-0.1102,0.0727,52,-0.1102,0.0813,52,-0.1102,0.0761,52,-0.1102,0.0348,52,-0.1102,0.0837
53,-0.0013,-0.0058,53,-0.0013,0.0764,53,-0.0013,0.0612,53,-0.0013,0.0626,53,-0.0013,0.0718,53,-0.0013,0.066,53,-0.0013,0.0466,53,-0.0013,0.0676
54,0.0248,0.0001,54,0.0248,0.0745,54,0.0248,0.0582,54,0.0248,0.0599,54,0.0248,0.0675,54,0.0248,0.0628,54,0.0248,0.0492,54,0.0248,0.067
55,0.2037,-0.0284,55,0.2037,0.0686,55,0.2037,0.0541,55,0.2037,0.0551,55,0.2037,0.061,55,0.2037,0.0566,55,0.2037,0.0033,55,0.2037,0.0608
56,0.0601,-0.0121,56,0.0601,0.0736,56,0.0601,0.0569,56,0.0601,0.058,56,0.0601,0.0638,56,0.0601,0.0596,56,0.0601,0.0224,56,0.0601,0.0667
57,-0.0901,-0.0576,57,-0.0901,0.0309,57,-0.0901,0.024,57,-0.0901,0.0252,57,-0.0901,0.0221,57,-0.0901,0.0212,57,-0.0901,-0.0384,57,-0.0901,0.022
58,0.0383,-0.0123,58,0.0383,0.0528,58,0.0383,0.0389,58,0.0383,0.041,58,0.0383,0.0452,58,0.0383,0.0425,58,0.0383,0.0232,58,0.0383,0.0451
59,-0.0818,-0.058,59,-0.0818,0.0397,59,-0.0818,0.0304,59,-0.0818,0.0315,59,-0.0818,0.029,59,-0.0818,0.0275,59,-0.0818,-0.0409,59,-0.0818,0.0297
60,-0.0066,-0.0177,60,-0.0066,0.0569,60,-0.0066,0.0417,60,-0.0066,0.0435,60,-0.0066,0.0466,60,-0.0066,0.0439,60,-0.0066,0.0126,60,-0.0066,0.0482
61,-0.0229,-0.0811,61,-0.0229,0.0235,61,-0.0229,0.0178,61,-0.0229,0.019,61,-0.0229,0.0156,61,-0.0229,0.0151,61,-0.0229,-0.0672,61,-0.0229,0.0158
62,-0.0838,-0.0239,62,-0.0838,0.0248,62,-0.0838,0.0199,62,-0.0838,0.0207,62,-0.0838,0.024,62,-0.0838,0.0234,62,-0.0838,0.0001,62,-0.0838,0.0244
63,-0.0413,-0.0839,63,-0.0413,0.0311,63,-0.0413,0.0234,63,-0.0413,0.0244,63,-0.0413,0.0207,63,-0.0413,0.0199,63,-0.0413,-0.0741,63,-0.0413,0.0217
64,-0.0119,-0.0241,64,-0.0119,0.0337,64,-0.0119,0.0259,64,-0.0119,0.027,64,-0.0119,0.0288,64,-0.0119,0.0278,64,-0.0119,0.0018,64,-0.0119,0.0294
65,-0.0178,-0.0857,65,-0.0178,0.0174,65,-0.0178,0.0131,65,-0.0178,0.014,65,-0.0178,0.0124,65,-0.0178,0.012,65,-0.0178,-0.0836,65,-0.0178,0.0126
66,-0.0973,-0.0312,66,-0.0973,0.0103,66,-0.0973,0.0086,66,-0.0973,0.0089,66,-0.0973,0.0119,66,-0.0973,0.0117,66,-0.0973,-0.0115,66,-0.0973,0.0123
67,-0.091,-0.072,67,-0.091,0.0154,67,-0.091,0.0112,67,-0.091,0.0117,67,-0.091,0.0103,67,-0.091,0.0099,67,-0.091,-0.0604,67,-0.091,0.011
68,0.0064,-0.0329,68,0.0064,0.0102,68,0.0064,0.0089,68,0.0064,0.0092,68,0.0064,0.0121,68,0.0064,0.0118,68,0.0064,-0.0169,68,0.0064,0.0123
74,0.7236,0.2199,74,0.7236,0.094,74,0.7236,0.0934,74,0.7236,0.0931,74,0.7236,0.112,74,0.7236,0.1044,74,0.7236,0.5098,74,0.7236,0.0983
75,0.7268,0.103,75,0.7268,0.095,75,0.7268,0.0859,75,0.7268,0.0907,75,0.7268,0.1137,75,0.7268,0.1085,75,0.7268,0.5512,75,0.7268,0.1021
78,0.7993,0.2667,78,0.7993,0.0985,78,0.7993,0.0969,78,0.7993,0.0969,78,0.7993,0.119,78,0.7993,0.112,78,0.7993,0.6477,78,0.7993,0.1069
79,0.8382,0.1798,79,0.8382,0.1009,79,0.8382,0.0948,79,0.8382,0.0975,79,0.8382,0.12,79,0.8382,0.1141,79,0.8382,0.6765,79,0.8382,0.1075
81,0.1076,0.0323,81,0.1076,0.0813,81,0.1076,0.0707,81,0.1076,0.0758,81,0.1076,0.0942,81,0.1076,0.0906,81,0.1076,0.3251,81,0.1076,0.0859
82,-0.0577,0.039,82,-0.0577,0.0812,82,-0.0577,0.0691,82,-0.0577,0.0747,82,-0.0577,0.0887,82,-0.0577,0.0865,82,-0.0577,0.2339,82,-0.0577,0.0827
83,0.1507,0.0343,83,0.1507,0.0832,83,0.1507,0.074,83,0.1507,0.078,83,0.1507,0.1014,83,0.1507,0.0967,83,0.1507,0.4064,83,0.1507,0.0913
84,-0.0035,0.0427,84,-0.0035,0.0839,84,-0.0035,0.0721,84,-0.0035,0.0772,84,-0.0035,0.0952,84,-0.0035,0.0923,84,-0.0035,0.3012,84,-0.0035,0.0878
85,-0.0571,0.0277,85,-0.0571,0.0705,85,-0.0571,0.0588,85,-0.0571,0.0641,85,-0.0571,0.0773,85,-0.0571,0.0749,85,-0.0571,0.1615,85,-0.0571,0.0709
86,-0.049,0.0319,86,-0.049,0.0713,86,-0.049,0.0589,86,-0.049,0.0643,86,-0.049,0.0767,86,-0.049,0.0749,86,-0.049,0.1424,86,-0.049,0.0716
87,-0.0291,0.0284,87,-0.0291,0.0703,87,-0.0291,0.0591,87,-0.0291,0.0637,87,-0.0291,0.0783,87,-0.0291,0.0756,87,-0.0291,0.1815,87,-0.0291,0.0717
88,-0.0054,0.0331,88,-0.0054,0.0716,88,-0.0054,0.0594,88,-0.0054,0.0643,88,-0.0054,0.0779,88,-0.0054,0.076,88,-0.0054,0.1533,88,-0.0054,0.073
89,0.0201,0.0154,89,0.0201,0.0588,89,0.0201,0.047,89,0.0201,0.0522,89,0.0201,0.0618,89,0.0201,0.06,89,0.0201,0.1011,89,0.0201,0.0568
90,0.0423,0.0244,90,0.0423,0.0616,90,0.0423,0.049,90,0.0423,0.0544,90,0.0423,0.0652,90,0.0423,0.0637,90,0.0423,0.1066,90,0.0423,0.061
91,0.0025,0.0158,91,0.0025,0.0584,91,0.0025,0.047,91,0.0025,0.0516,91,0.0025,0.0625,91,0.0025,0.0604,91,0.0025,0.1037,91,0.0025,0.0571
92,-0.0057,0.0249,92,-0.0057,0.0611,92,-0.0057,0.0488,92,-0.0057,0.0536,92,-0.0057,0.0656,92,-0.0057,0.0638,92,-0.0057,0.1065,92,-0.0057,0.0612
93,-0.0262,-0.0053,93,-0.0262,0.0474,93,-0.0262,0.036,93,-0.0262,0.0408,93,-0.0262,0.0459,93,-0.0262,0.0447,93,-0.0262,0.0533,93,-0.0262,0.0423
94,-0.0363,0.0165,94,-0.0363,0.0527,94,-0.0363,0.0403,94,-0.0363,0.0456,94,-0.0363,0.0552,94,-0.0363,0.0539,94,-0.0363,0.089,94,-0.0363,0.0514
95,-0.0381,-0.0062,95,-0.0381,0.046,95,-0.0381,0.0348,95,-0.0381,0.0392,95,-0.0381,0.045,95,-0.0381,0.0435,95,-0.0381,0.0505,95,-0.0381,0.0411
96,-0.0154,0.0168,96,-0.0154,0.0513,96,-0.0154,0.0393,96,-0.0154,0.044,96,-0.0154,0.0543,96,-0.0154,0.0527,96,-0.0154,0.0886,96,-0.0154,0.0503
97,-0.1097,-0.029,97,-0.1097,0.042,97,-0.1097,0.031,97,-0.1097,0.0356,97,-0.1097,0.0379,97,-0.1097,0.0371,97,-0.1097,0.0174,97,-0.1097,0.0351
98,-0.0325,0.0082,98,-0.0325,0.0414,98,-0.0325,0.0297,98,-0.0325,0.0346,98,-0.0325,0.0413,98,-0.0325,0.0402,98,-0.0325,0.0692,98,-0.0325,0.0382
99,-0.1052,-0.0311,99,-0.1052,0.0402,99,-0.1052,0.0294,99,-0.1052,0.0336,99,-0.1052,0.0361,99,-0.1052,0.0351,99,-0.1052,0.012,99,-0.1052,0.0333
100,-0.0111,0.0074,100,-0.0111,0.04,100,-0.0111,0.0285,100,-0.0111,0.033,100,-0.0111,0.0408,100,-0.0111,0.0395,100,-0.0111,0.0675,100,-0.0111,0.0376
101,-0.0617,-0.048,101,-0.0617,0.0347,101,-0.0617,0.0251,101,-0.0617,0.0292,101,-0.0617,0.0278,101,-0.0617,0.0274,101,-0.0617,-0.0101,101,-0.0617,0.026
102,-0.0305,-0.0142,102,-0.0305,0.0158,102,-0.0305,0.0122,102,-0.0305,0.0137,102,-0.0305,0.0161,102,-0.0305,0.0158,102,-0.0305,0.0126,102,-0.0305,0.0152
103,-0.0503,-0.053,103,-0.0503,0.0296,103,-0.0503,0.021,103,-0.0503,0.0243,103,-0.0503,0.024,103,-0.0503,0.0233,103,-0.0503,-0.0176,103,-0.0503,0.0223
104,-0.0473,-0.0127,104,-0.0473,0.0155,104,-0.0473,0.0118,104,-0.0473,0.0132,104,-0.0473,0.0173,104,-0.0473,0.0169,104,-0.0473,0.0144,104,-0.0473,0.0164
110,0.5746,0.2652,110,0.5746,0.1147,110,0.5746,0.1149,110,0.5746,0.1139,110,0.5746,0.1289,110,0.5746,0.122,110,0.5746,0.481,110,0.5746,0.1195
111,0.5977,0.1309,111,0.5977,0.1056,111,0.5977,0.0992,111,0.5977,0.1036,111,0.5977,0.121,111,0.5977,0.1146,111,0.5977,0.4647,111,0.5977,0.1096
114,0.6887,0.1717,114,0.6887,0.0965,114,0.6887,0.093,114,0.6887,0.0948,114,0.6887,0.1132,114,0.6887,0.1065,114,0.6887,0.4496,114,0.6887,0.1027
115,0.7026,0.099,115,0.7026,0.0982,115,0.7026,0.0906,115,0.7026,0.0955,115,0.7026,0.1161,115,0.7026,0.1101,115,0.7026,0.481,115,0.7026,0.1036
117,0.1386,0.0279,117,0.1386,0.0834,117,0.1386,0.0719,117,0.1386,0.0782,117,0.1386,0.093,117,0.1386,0.0909,117,0.1386,0.1713,117,0.1386,0.0871
118,0.0013,0.0379,118,0.0013,0.0822,118,0.0013,0.0694,118,0.0013,0.0759,118,0.0013,0.0862,118,0.0013,0.0853,118,0.0013,0.1409,118,0.0013,0.0823
119,0.144,0.0306,119,0.144,0.0813,119,0.144,0.0701,119,0.144,0.0759,119,0.144,0.0916,119,0.144,0.0889,119,0.144,0.2414,119,0.144,0.0848
120,-0.0472,0.0397,120,-0.0472,0.0813,120,-0.0472,0.0685,120,-0.0472,0.0748,120,-0.0472,0.0864,120,-0.0472,0.0849,120,-0.0472,0.1823,120,-0.0472,0.0816
121,-0.0615,0.0221,121,-0.0615,0.0702,121,-0.0615,0.0578,121,-0.0615,0.0642,121,-0.0615,0.0718,121,-0.0615,0.0709,121,-0.0615,0.1027,121,-0.0615,0.0678
122,-0.0548,0.0287,122,-0.0548,0.0718,122,-0.0548,0.0589,122,-0.0548,0.0654,122,-0.0548,0.0744,122,-0.0548,0.0735,122,-0.0548,0.1088,122,-0.0548,0.0708
123,-0.0776,0.0271,123,-0.0776,0.0707,123,-0.0776,0.0583,123,-0.0776,0.0643,123,-0.0776,0.0742,123,-0.0776,0.0727,123,-0.0776,0.1243,123,-0.0776,0.0695
124,-0.0543,0.0322,124,-0.0543,0.0719,124,-0.0543,0.059,124,-0.0543,0.0651,124,-0.0543,0.0753,124,-0.0543,0.074,124,-0.0543,0.1232,124,-0.0543,0.0712
125,0.0134,0.0152,125,0.0134,0.0615,125,0.0134,0.0491,125,0.0134,0.0554,125,0.0134,0.0598,125,0.0134,0.0592,125,0.0134,0.0819,125,0.0134,0.0569
126,0.0089,0.0222,126,0.0089,0.0636,126,0.0089,0.0507,126,0.0089,0.057,126,0.0089,0.0647,126,0.0089,0.064,126,0.0089,0.0953,126,0.0089,0.0616
127,0.0263,0.0158,127,0.0263,0.0602,127,0.0263,0.0481,127,0.0263,0.0539,127,0.0263,0.0609,127,0.0263,0.0596,127,0.0263,0.0928,127,0.0263,0.0567
128,0.036,0.024,128,0.036,0.0625,128,0.036,0.0496,128,0.036,0.0555,128,0.036,0.0649,128,0.036,0.0638,128,0.036,0.1022,128,0.036,0.0612
129,-0.04,0.0008,129,-0.04,0.0507,129,-0.04,0.0385,129,-0.04,0.0445,129,-0.04,0.0455,129,-0.04,0.0452,129,-0.04,0.0509,129,-0.04,0.0434
130,-0.0326,0.016,130,-0.0326,0.0545,130,-0.0326,0.0418,130,-0.0326,0.048,130,-0.0326,0.0533,130,-0.0326,0.0527,130,-0.0326,0.0805,130,-0.0326,0.0506
131,-0.0336,-0.0006,131,-0.0336,0.0497,131,-0.0336,0.038,131,-0.0336,0.0434,131,-0.0336,0.0472,131,-0.0336,0.0463,131,-0.0336,0.0593,131,-0.0336,0.0439
132,0.0003,0.018,132,0.0003,0.0539,132,0.0003,0.0412,132,0.0003,0.0469,132,0.0003,0.0551,132,0.0003,0.0541,132,0.0003,0.0896,132,0.0003,0.0517
133,-0.0591,-0.0199,133,-0.0591,0.0443,133,-0.0591,0.0324,133,-0.0591,0.0382,133,-0.0591,0.0373,133,-0.0591,0.0373,133,-0.0591,0.0188,133,-0.0591,0.0358
134,-0.0183,0.0044,134,-0.0183,0.0383,134,-0.0183,0.0277,134,-0.0183,0.0327,134,-0.0183,0.0343,134,-0.0183,0.034,134,-0.0183,0.0521,134,-0.0183,0.0325
135,-0.1132,-0.0207,135,-0.1132,0.0423,135,-0.1132,0.0312,135,-0.1132,0.0362,135,-0.1132,0.0376,135,-0.1132,0.037,135,-0.1132,0.0303,135,-0.1132,0.035
136,-0.0325,0.0084,136,-0.0325,0.0401,136,-0.0325,0.0289,136,-0.0325,0.0339,136,-0.0325,0.0384,136,-0.0325,0.0377,136,-0.0325,0.0654,136,-0.0325,0.0358
137,-0.0491,-0.0486,137,-0.0491,0.0363,137,-0.0491,0.025,137,-0.0491,0.0305,137,-0.0491,0.0248,137,-0.0491,0.0251,137,-0.0491,-0.0185,137,-0.0491,0.0242
138,-0.0488,-0.0131,138,-0.0488,0.0192,138,-0.0488,0.0131,138,-0.0488,0.016,138,-0.0488,0.0152,138,-0.0488,0.0152,138,-0.0488,0.0084,138,-0.0488,0.0147
