type,method,difference
CF,D,0.43
CF,D,0.4264
CF,D,0.2073
CF,D,0.232
CF,D,0.2802
CF,D,0.2076
CF,D,0.3541
CF,D,0.5718
CF,D,0.4757
CF,D,0.3617
CF,D,0.4389
CF,D,0.3009
CF,D,0.4758
CF,D,0.3469
CF,D,0.4048
CF,D,0.3356
CF,D,0.3205
CF,D,0.2815
CF,D,0.3424
CF,D,0.2879
CF,D,0.2778
CF,D,0.2036
CF,D,0.3057
CF,D,0.2844
CF,D,0.3496
CF,D,0.3153
CF,D,0.3287
CF,D,0.2695
CF,D,0.006
CF,D,0.0829
CF,D,0.0354
CF,D,0.1593
CF,D,-0.0838
CF,D,-0.056
CF,D,-0.0101
CF,D,0.1125
CF,D,0.3103
CF,D,0.4137
CF,D,0.2764
CF,D,0.2382
CF,D,0.2456
CF,D,0.2814
CF,D,0.2883
CF,D,0.3074
CF,D,0.2544
CF,D,0.2539
CF,D,0.294
CF,D,0.2527
CF,D,0.2198
CF,D,0.1742
CF,D,0.193
CF,D,0.1504
CF,D,0.1671
CF,D,0.1832
CF,D,0.1879
CF,D,0.1931
CF,D,0.1248
CF,D,0.0788
CF,D,0.163
CF,D,0.1028
CF,D,0.1813
CF,D,0.1159
CF,D,0.1865
CF,D,0.1606
CF,D,0.088
CF,D,0.0955
CF,D,0.0902
CF,D,0.0467
CF,D,-0.0008
CF,D,0.0205
CF,D,0.0081
CF,D,-0.0057
CF,D,0.1174
CF,D,0.1977
CF,D,-0.1004
CF,D,-0.0471
CF,D,0.3497
CF,D,0.4037
CF,D,0.2558
CF,D,0.3088
CF,D,0.4985
CF,D,0.4889
CF,D,0.456
CF,D,0.4881
CF,D,0.4509
CF,D,0.4492
CF,D,0.4988
CF,D,0.4387
CF,D,0.3811
CF,D,0.4584
CF,D,0.4544
CF,D,0.46
CF,D,0.4548
CF,D,0.4068
CF,D,0.4465
CF,D,0.4305
CF,D,0.3926
CF,D,0.4041
CF,D,0.3114
CF,D,0.3243
CF,D,0.2724
CF,D,0.2594
CF,D,0.122
CF,D,0.1481
CF,D,-0.0361
CF,D,0.0123
CF,D,0.012
CF,D,0.0455
CF,D,0.0504
CF,D,0.0512
CF,D,-0.1193
CF,D,-0.1089
CF,D,0.2832
CF,D,0.3404
CF,D,0.2446
CF,D,0.2192
CF,D,0.4191
CF,D,0.4489
CF,D,0.4031
CF,D,0.463
CF,D,0.4123
CF,D,0.4147
CF,D,0.3995
CF,D,0.4442
CF,D,0.3924
CF,D,0.3793
CF,D,0.4262
CF,D,0.4243
CF,D,0.3741
CF,D,0.403
CF,D,0.4064
CF,D,0.4438
CF,D,0.3289
CF,D,0.3888
CF,D,0.3268
CF,D,0.3305
CF,D,0.1975
CF,D,0.2418
CF,D,0.0243
CF,D,0.1115
CF,D,-0.0548
CF,D,-0.0391
CF,D,0.0069
CF,D,0.032
CF,D,0.2728
CF,D,0.3652
CF,D,0.0395
CF,D,0.1142
CF,D,0.3663
CF,D,0.2149
CF,D,0.3491
CF,D,0.2766
CF,D,0.5397
CF,D,0.4365
CF,D,0.5487
CF,D,0.4412
CF,D,0.3993
CF,D,0.4239
CF,D,0.4407
CF,D,0.4682
CF,D,0.4756
CF,D,0.4076
CF,D,0.4782
CF,D,0.4797
CF,D,0.425
CF,D,0.3704
CF,D,0.4034
CF,D,0.3798
CF,D,0.3773
CF,D,0.2982
CF,D,0.3054
CF,D,0.3145
CF,D,0.145
CF,D,0.0803
CF,D,0.1406
CF,D,0.1525
CF,D,-0.0531
CF,D,0.1143
CF,D,0.0215
CF,D,0.061
CF,D,0.4589
CF,D,0.4583
CF,D,0.3291
CF,D,0.2929
CF,D,0.3364
CF,D,0.314
CF,D,0.395
CF,D,0.3408
CF,D,0.3298
CF,D,0.329
CF,D,0.3456
CF,D,0.2799
CF,D,0.2604
CF,D,0.2586
